,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
1,Maruti Alto,Maruti,Alto,9,53800,Dealer,CNG,Manual,26.83,796,38.4,5,235000
2,Maruti Alto,Maruti,Alto,11,11000,Dealer,CNG,Manual,26.83,796,38.4,5,185000
3,Maruti Alto,Maruti,Alto,11,80000,Dealer,CNG,Manual,26.83,796,38.4,5,150000
4,Maruti Alto,Maruti,Alto,10,57000,Dealer,CNG,Manual,26.83,796,38.4,5,172000
5,Maruti Alto,Maruti,Alto,11,72000,Individual,CNG,Manual,26.83,796,38.4,5,125000
6,Maruti Alto,Maruti,Alto,5,42000,Dealer,CNG,Manual,33.44,796,40.3,4,260000
7,Maruti Alto,Maruti,Alto,7,28000,Dealer,CNG,Manual,33.44,796,40.3,4,281000
8,Maruti Alto,Maruti,Alto,3,29000,Dealer,CNG,Manual,33.44,796,40.3,4,345000
9,Maruti Alto,Maruti,Alto,8,68000,Dealer,CNG,Manual,33.44,796,40.3,4,150000
10,Maruti Alto,Maruti,Alto,4,20700,Dealer,CNG,Manual,33.44,796,40.3,4,381000
14,Maruti Alto,Maruti,Alto,4,61000,Dealer,CNG,Manual,33.44,796,40.3,4,340000
15,Maruti Alto,Maruti,Alto,4,45000,Dealer,CNG,Manual,33.44,796,40.3,4,290000
16,Maruti Alto,Maruti,Alto,5,77658,Dealer,CNG,Manual,33.44,796,40.3,4,325000
17,Maruti Alto,Maruti,Alto,3,59000,Dealer,CNG,Manual,33.44,796,40.3,4,300000
18,Maruti Alto,Maruti,Alto,3,30112,Dealer,CNG,Manual,33.44,796,40.3,4,360000
19,Maruti Alto,Maruti,Alto,4,26000,Dealer,CNG,Manual,33.44,796,40.3,4,300000
20,Maruti Alto,Maruti,Alto,3,58000,Dealer,CNG,Manual,33.44,796,40.3,4,350000
21,Maruti Alto,Maruti,Alto,4,28239,Trustmark Dealer,CNG,Manual,33.44,796,40.3,4,315000
22,Maruti Alto,Maruti,Alto,3,31243,Trustmark Dealer,CNG,Manual,33.44,796,40.3,4,299000
23,Maruti Alto,Maruti,Alto,9,28000,Dealer,Petrol,Manual,19.7,796,46.3,5,180000
25,Maruti Alto,Maruti,Alto,9,41321,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
26,Maruti Alto,Maruti,Alto,14,52235,Dealer,Petrol,Manual,19.7,796,46.3,5,110000
27,Maruti Alto,Maruti,Alto,7,75001,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
29,Maruti Alto,Maruti,Alto,11,48156,Dealer,Petrol,Manual,19.7,796,46.3,5,135000
30,Maruti Alto,Maruti,Alto,9,43000,Dealer,Petrol,Manual,19.7,796,46.3,5,230000
